Site	Left	Right	Strand	Transcription-Units	Common-Name
ArgR-arg DNA-binding-site 2.5 bases downstream of argDp	3490211	3490229	-	argD	
ArgR-arg DNA-binding-site 22.5 bases upstream of argFp	290354	290372	-	argF	
ArgR-arg DNA-binding-site 22.5 bases upstream of argIp	4478358	4478376	-	argI	
ArgR-arg DNA-binding-site 27.5 bases upstream of argRp1	3384641	3384659	+	argR	
ArgR-arg DNA-binding-site 27.5 bases upstream of artJp	900645	900663	-	artJ	
ArgR-arg DNA-binding-site 331.5 bases upstream of gltBp2	3354169	3354187	+	gltBDF // gltBDF	
ArgR-arg DNA-binding-site 34.5 bases upstream of lysOp	914921	914939	-	lysO	
ArgR-arg DNA-binding-site 352 bases upstream of gltBp2	3354148	3354166	+	gltBDF // gltBDF	
ArgR-arg DNA-binding-site 46.5 bases downstream of argAp	2949193	2949211	+	argA	
ArgR-arg DNA-binding-site 47.5 bases upstream of astCp2	1832083	1832101	-	astCADBE	
ArgR-arg DNA-binding-site 48.5 bases upstream of artJp	900666	900684	-	artJ	
ArgR-arg DNA-binding-site 55.5 bases upstream of lysOp	914942	914960	-	lysO	
ArgR-arg DNA-binding-site 6.5 bases upstream of argEp1	4154895	4154913		argE // argCBH	
ArgR-arg DNA-binding-site 6.5 bases upstream of argGp	3318547	3318565		argG // metY // metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	
ArgR-arg DNA-binding-site 62.5 bases upstream of hisJp	2426891	2426909	-	hisJQMP	
ArgR-arg DNA-binding-site 67.5 bases downstream of argAp	2949214	2949232	+	argA	
ArgR-arg DNA-binding-site 7.5 bases upstream of argRp1	3384661	3384679	+	argR	
ArgR-arg DNA-binding-site 78.5 bases upstream of astCp2	1832114	1832132	-	astCADBE	
ArgR-arg DNA-binding-site 8.5 bases upstream of carAp2	29602	29620	+	carAB	
ArgR-arg DNA-binding-site 83.5 bases upstream of hisJp	2426912	2426930	-	hisJQMP	
ArgR-arg DNA-binding-site 99.5 bases upstream of astCp2	1832135	1832153	-	astCADBE	
ArgR-arg DNA-binding-site regulating yhcC	3354148	3354187	-	yhcC	
ArsR DNA-binding-site 41.5 bases upstream of arsRp	3648459	3648483	+	arsRBC	
AscG DNA-binding-site 108.5 bases upstream of ybiTp	855832	855846	+	ybiT	
AscG DNA-binding-site 18.5 bases upstream of prpRp	348487	348493	-	prpR	
AscG DNA-binding-site 29.5 bases upstream of prpRp	348498	348504	-	prpR	
AscG DNA-binding-site 36.5 bases upstream of prpRp	348505	348511	-	prpR	
AscG DNA-binding-site 4.5 bases downstream of ascFp	2839426	2839440	+	ascFB	
AscG DNA-binding-site 46.5 bases upstream of prpRp	348515	348521	-	prpR	
AscG DNA-binding-site 58.5 bases upstream of prpRp	348527	348533	-	prpR	
AscG DNA-binding-site 72.5 bases upstream of ascFp	2839350	2839364	+	ascFB	
AscG DNA-binding-site 89.5 bases downstream of htpGp1	495157	495171	+	htpG	
AsnC DNA-binding-site 12.5 bases downstream of asnCp	3927013	3927027		asnC-mioC-mnmG // asnC-mioC // asnC // asnA	
AsnC DNA-binding-site 22.5 bases upstream of asnCp	3927047	3927061		asnC-mioC-mnmG // asnC-mioC // asnC // asnA	
AsnC DNA-binding-site 54.5 bases upstream of asnCp	3927079	3927093		asnC-mioC-mnmG // asnC-mioC // asnC // asnA	
AsnC DNA-binding-site 85.5 bases upstream of asnCp	3927110	3927124		asnC-mioC-mnmG // asnC-mioC // asnC // asnA	
AtoC-P DNA-binding-site 119.5 bases upstream of atoDp	2323283	2323303	+	atoDAEB	
AtoC-P DNA-binding-site 138.5 bases upstream of atoDp	2323264	2323284	+	atoDAEB	
BaeR-Pasp61 DNA-binding-site 157.5 bases upstream of spyp	1825836	1825856	-	spy	
BaeR-Pasp61 DNA-binding-site 27.5 bases upstream of mdtAp	2153942	2153962	+	mdtABCD-baeSR	
BaeR-Pasp61 DNA-binding-site 36.5 bases upstream of acrDp2	2587504	2587524	+	acrD	
BaeR-Pasp61 DNA-binding-site 86.5 bases upstream of spyp	1825765	1825785	-	spy	
BaeR-Pasp61 DNA-binding-site regulating ycaC			-	ycaC	
BasR-Pasp51 DNA-binding-site 13.5 bases upstream of qseBp2	3169726	3169746	+	qseBC	
BasR-Pasp51 DNA-binding-site 137.5 bases upstream of cspIp1	1638940	1638960	-	cspI	
BasR-Pasp51 DNA-binding-site 2.5 bases downstream of putAp	1078914	1078934	-	putA	
BasR-Pasp51 DNA-binding-site 30.5 bases upstream of dgkAp1	4256417	4256437	+	dgkA	
BasR-Pasp51 DNA-binding-site 394.5 bases upstream of tomBp	481179	481199	-	tomB-hha	
BasR-Pasp51 DNA-binding-site 41.5 bases upstream of fimBp2	4540616	4540636	+	fimB	
BasR-Pasp51 DNA-binding-site 52.5 bases upstream of yrbLp	3348359	3348379	+	yrbL	
BasR-Pasp51 DNA-binding-site 90.5 bases upstream of csgDp3	1103425	1103445	-	csgDEFG // csgDEFG	
BasR-Pasp51 DNA-binding-site regulating arnBCADTEF	2365813	2365833	+	arnBCADTEF	
BasR-Pasp51 DNA-binding-site regulating eptA	4335634	4335654	-	eptA	
BasR-Pasp51 DNA-binding-site regulating yibD	3790127	3790147	-	yibD	
BetI DNA-binding-site 30 bases upstream of betTp	329381	329401		betT // betIBA	
BirA-bio-5'-AMP DNA-binding-site 11.5 bases downstream of bioAp	809262	809302		bioA // bioBFCD	
BluR DNA-binding-site 29.5 bases upstream of ycgZp2	1215713	1215733	+	ycgZ-ymgA-ariR-ymgC // ycgZ-ymgA-ariR-ymgC	
BolA-phosphate DNA-binding-site 191.5 bases upstream of mreBp1	3401317	3401325	-	mreB // mreBCD	
CadC DNA-binding-site 139 bases upstream of cadBp	4360237	4360254	-	cadBA	
CadC DNA-binding-site 71 bases upstream of cadBp	4360162	4360193	-	cadBA	
CaiF-L-carnitine DNA-binding-site 117.5 bases upstream of fixAp	42200	42216		fixABCX // caiTABCDE	
CaiF-L-carnitine DNA-binding-site 151.5 bases upstream of caiTp	42181	42197		caiTABCDE // fixABCX	
CaiF-L-carnitine DNA-binding-site 208.5 bases upstream of caiTp	42238	42254		caiTABCDE // fixABCX	
CaiF-L-carnitine DNA-binding-site 60.5 bases upstream of fixAp	42257	42273		fixABCX // caiTABCDE	
Cbl DNA-binding-site 54.5 bases upstream of ssuEp	997598	997638	-	ssuEADCB	
Cbl DNA-binding-site 91 bases upstream of tauAp	385094	385134	+	tauABCD	
CecR DNA-binding-site regulating rhlE	830658	830678		rhlE // cecR-ybhGFSR	
ChbR DNA-binding-site 38 bases upstream of chbBp	1821755	1821774	-	chbBCARFG	
ChbR DNA-binding-site 61 bases upstream of chbBp	1821778	1821797	-	chbBCARFG	
CitR DNA-binding-site regulating citR-ybdNM	637707	637724	-	citR-ybdNM	
ComR DNA-binding-site regulating bhsAp			+	bhsA	
CpxR DNA-binding-site (BS0-10711)	4630648	4630648			
CpxR-phosphorylated DNA-binding-site (BS0-10569)	755107	755123			
CpxR-phosphorylated DNA-binding-site (BS0-10679)	511470	511485			
CpxR-phosphorylated DNA-binding-site (BS0-10680)	3152086	3152101			
CpxR-phosphorylated DNA-binding-site (BS0-10681)	1934808	1934824			
CpxR-phosphorylated DNA-binding-site (BS0-10682)	4375786	4375801			
CpxR-phosphorylated DNA-binding-site (BS0-10683)	3418817	3418833			
CpxR-phosphorylated DNA-binding-site (BS0-10684)	1547373	1547389			
CpxR-phosphorylated DNA-binding-site (BS0-10685)	1547373	1547389			
CpxR-phosphorylated DNA-binding-site (BS0-10686)	913724	913739			
CpxR-phosphorylated DNA-binding-site (BS0-10687)	1037603	1037619			
CpxR-phosphorylated DNA-binding-site (BS0-10688)	3922655	3922671			
CpxR-phosphorylated DNA-binding-site (BS0-10689)	2493740	2493755			
CpxR-phosphorylated DNA-binding-site (BS0-10690)	3922655	3922671			
CpxR-phosphorylated DNA-binding-site (BS0-10691)	4287606	4287621			
CpxR-phosphorylated DNA-binding-site (BS0-10692)	1271937	1271952			
CpxR-phosphorylated DNA-binding-site (BS0-10693)	1271937	1271952			
CpxR-phosphorylated DNA-binding-site (BS0-10694)	4242336	4242352			
CpxR-phosphorylated DNA-binding-site (BS0-10695)	954782	954797			
CpxR-phosphorylated DNA-binding-site (BS0-10697)	1621186	1621202			
CpxR-phosphorylated DNA-binding-site (BS0-10698)	1621186	1621202			
CpxR-phosphorylated DNA-binding-site (BS0-10699)	3785130	3785146			
CpxR-phosphorylated DNA-binding-site (BS0-10700)	3785216	3785231			
CpxR-phosphorylated DNA-binding-site (BS0-10701)	3785216	3785231			
CpxR-phosphorylated DNA-binding-site (BS0-10702)	3785130	3785146			
CpxR-phosphorylated DNA-binding-site (BS0-10703)	378446	378462			
CpxR-phosphorylated DNA-binding-site (BS0-10704)	1490705	1490721			
CpxR-phosphorylated DNA-binding-site (BS0-10705)	243386	243402			
CpxR-phosphorylated DNA-binding-site (BS0-10706)	243386	243402			
CpxR-phosphorylated DNA-binding-site (BS0-10707)	3088215	3088230			
CpxR-phosphorylated DNA-binding-site (BS0-10708)	2839267	2839282			
CpxR-phosphorylated DNA-binding-site (BS0-10709)	4591396	4591411			
CpxR-phosphorylated DNA-binding-site (BS0-10710)	478809	478825			
CpxR-phosphorylated DNA-binding-site (BS0-10712)	3719781	3719796			
CpxR-phosphorylated DNA-binding-site (BS0-10713)	2060905	2060921			
CpxR-phosphorylated DNA-binding-site (BS0-10714)	311382	311398			
CpxR-phosphorylated DNA-binding-site (BS0-10715)	1447499	1447515			
CpxR-phosphorylated DNA-binding-site (BS0-10716)	3152086	3152101			
CpxR-phosphorylated DNA-binding-site (BS0-10717)	396387	396402			
CpxR-phosphorylated DNA-binding-site (BS0-10718)	2884205	2884221			
CpxR-phosphorylated DNA-binding-site (BS0-10719)	2700485	2700501			
CpxR-phosphorylated DNA-binding-site (BS0-10720)	2349591	2349607			
CpxR-phosphorylated DNA-binding-site (BS0-10721)	2349591	2349607			
CpxR-phosphorylated DNA-binding-site (BS0-10722)	515893	515908			
CpxR-phosphorylated DNA-binding-site (BS0-10723)	2460520	2460536			
CpxR-phosphorylated DNA-binding-site (BS0-10724)	4256433	4256448			
CpxR-phosphorylated DNA-binding-site (BS0-10725)	1714268	1714284			
CpxR-phosphorylated DNA-binding-site (BS0-10726)	638596	638612			
CpxR-phosphorylated DNA-binding-site (BS0-10727)	4540635	4540651			
CpxR-phosphorylated DNA-binding-site (BS0-10728)	179190	179206			
CpxR-phosphorylated DNA-binding-site (BS0-10729)	179147	179162			
CpxR-phosphorylated DNA-binding-site (BS0-10730)	179147	179162			
CpxR-phosphorylated DNA-binding-site (BS0-10731)	179190	179206			
CpxR-phosphorylated DNA-binding-site (BS0-10732)	1523104	1523120			
CpxR-phosphorylated DNA-binding-site (BS0-10733)	3411536	3411551			
CpxR-phosphorylated DNA-binding-site (BS0-10734)	3237381	3237396			
CpxR-phosphorylated DNA-binding-site (BS0-10735)	131398	131414			
CpxR-phosphorylated DNA-binding-site (BS0-10736)	2460444	2460459			
CpxR-phosphorylated DNA-binding-site (BS0-10737)	2700350	2700365			
CpxR-phosphorylated DNA-binding-site (BS0-10738)	1832254	1832269			
CpxR-phosphorylated DNA-binding-site 100 bases upstream of csgDp3	1103437	1103452	-	csgDEFG // csgDEFG	
CpxR-phosphorylated DNA-binding-site 101 bases upstream of hlpAp	200347	200362	+	hlpA-lpxD-fabZ-lpxA	
CpxR-phosphorylated DNA-binding-site 108.5 bases upstream of csgDp3	1103446	1103460	-	csgDEFG // csgDEFG	
CpxR-phosphorylated DNA-binding-site 11 bases downstream of bamEp	2753489	2753504	+	bamE	
CpxR-phosphorylated DNA-binding-site 117 bases upstream of ppiDp2	461695	461710	+	ppiD	
CpxR-phosphorylated DNA-binding-site 127.5 bases upstream of acrDp2	2587414	2587432	+	acrD	
CpxR-phosphorylated DNA-binding-site 128.5 bases upstream of mdtAp	2153843	2153859	+	mdtABCD-baeSR	
CpxR-phosphorylated DNA-binding-site 129.5 bases upstream of csgDp3	1103466	1103482	-	csgDEFG // csgDEFG	
CpxR-phosphorylated DNA-binding-site 134 bases upstream of ompCp1	2312957	2312972	-	ompC	
CpxR-phosphorylated DNA-binding-site 141 bases upstream of csgDp3	1103478	1103493	-	csgDEFG // csgDEFG	
CpxR-phosphorylated DNA-binding-site 143.5 bases upstream of yidQp	3867393	3867409	+	yidQ	
CpxR-phosphorylated DNA-binding-site 151 bases downstream of psdp	4390481	4390496	-	psd-mscM	
CpxR-phosphorylated DNA-binding-site 159 bases upstream of sbmAp	396387	396402	+	sbmA-yaiW	
CpxR-phosphorylated DNA-binding-site 165 bases upstream of ppiDp2	461647	461662	+	ppiD	
CpxR-phosphorylated DNA-binding-site 166 bases upstream of csgDp3	1103503	1103518	-	csgDEFG // csgDEFG	
CpxR-phosphorylated DNA-binding-site 176 bases upstream of yidQp	3867360	3867377	+	yidQ	
CpxR-phosphorylated DNA-binding-site 178 bases upstream of csgDp3	1103516	1103529	-	csgDEFG // csgDEFG	
CpxR-phosphorylated DNA-binding-site 186 bases upstream of csgDp3	1103523	1103538	-	csgDEFG // csgDEFG	
CpxR-phosphorylated DNA-binding-site 192 bases upstream of ldtDp	980732	980747	+	ldtD	
CpxR-phosphorylated DNA-binding-site 21.5 bases upstream of csgDp3	1103359	1103373	-	csgDEFG // csgDEFG	
CpxR-phosphorylated DNA-binding-site 223 bases upstream of degPp	180615	180630	+	degP	
CpxR-phosphorylated DNA-binding-site 254 bases upstream of yidQp	3867282	3867299	+	yidQ	
CpxR-phosphorylated DNA-binding-site 255 bases upstream of csgBp2	1103597	1103612	+	csgBAC // csgBAC	
CpxR-phosphorylated DNA-binding-site 29 bases upstream of marRp	1619057	1619072	+	marRAB	
CpxR-phosphorylated DNA-binding-site 292 bases upstream of bacAp	3204460	3204475	-	bacA	
CpxR-phosphorylated DNA-binding-site 3 bases downstream of csgDp3	1103335	1103350	-	csgDEFG // csgDEFG	
CpxR-phosphorylated DNA-binding-site 33 bases upstream of carAp2	29579	29594	+	carAB	
CpxR-phosphorylated DNA-binding-site 351 bases upstream of ompCp1	2313174	2313189	-	ompC	
CpxR-phosphorylated DNA-binding-site 357.5 bases upstream of dsbCp	3039184	3039199	-	dsbC	
CpxR-phosphorylated DNA-binding-site 37 bases upstream of motRp	1977332	1977347	-	motRAB-cheAW	
CpxR-phosphorylated DNA-binding-site 373 bases upstream of ompFp2	987458	987473	-	ompF // ompF	
CpxR-phosphorylated DNA-binding-site 38 bases upstream of aroGp	785546	785561	+	aroG	
CpxR-phosphorylated DNA-binding-site 391.5 bases upstream of dsbCp	3039219	3039233	-	dsbC	
CpxR-phosphorylated DNA-binding-site 41 bases upstream of dgcZp	1623912	1623929	-	dgcZ	
CpxR-phosphorylated DNA-binding-site 429.5 bases upstream of ompFp2	987514	987530	-	ompF // ompF	
CpxR-phosphorylated DNA-binding-site 43 bases upstream of csgDp3	1103380	1103395	-	csgDEFG // csgDEFG	
CpxR-phosphorylated DNA-binding-site 44 bases upstream of yebEp	1929769	1929784	-	yebE	
CpxR-phosphorylated DNA-binding-site 464 bases upstream of csgBp2	1103388	1103403	+	csgBAC // csgBAC	
CpxR-phosphorylated DNA-binding-site 47 bases upstream of cpxRp2	4105726	4105741		cpxRA // cpxRA // cpxPQ	
CpxR-phosphorylated DNA-binding-site 47 bases upstream of ppiAp1	3492375	3492390	-	ppiA	
CpxR-phosphorylated DNA-binding-site 47 bases upstream of yqjAp1	3247494	3247509	+	yqjA-mzrA	
CpxR-phosphorylated DNA-binding-site 48 bases upstream of csgDp3	1103385	1103400	-	csgDEFG // csgDEFG	
CpxR-phosphorylated DNA-binding-site 48 bases upstream of yqaEp	2797126	2797141	-	yqaE-kbp // yqaE	
CpxR-phosphorylated DNA-binding-site 49 bases upstream of srkAp	4042335	4042350	+	srkA-dsbA	
CpxR-phosphorylated DNA-binding-site 5 bases upstream of cpxPp	4105771	4105790	+	cpxPQ	
CpxR-phosphorylated DNA-binding-site 50 bases upstream of spyp	1825731	1825746	-	spy	
CpxR-phosphorylated DNA-binding-site 50 bases upstream of tomBp	480837	480852	-	tomB-hha	
CpxR-phosphorylated DNA-binding-site 52 bases upstream of csgDp3	1103389	1103404	-	csgDEFG // csgDEFG	
CpxR-phosphorylated DNA-binding-site 52 bases upstream of sltp7	4630641	4630656	+	slt	
CpxR-phosphorylated DNA-binding-site 53 bases upstream of yccAp	1031489	1031504	-	yccA	
CpxR-phosphorylated DNA-binding-site 53.5 bases upstream of ldtCp	1170463	1170479	-	ldtC	
CpxR-phosphorylated DNA-binding-site 54.5 bases upstream of efeUp	1081246	1081260	+	efeU	
CpxR-phosphorylated DNA-binding-site 61 bases upstream of ftnBp2	1986731	1986746	+	ftnB	
CpxR-phosphorylated DNA-binding-site 63 bases upstream of degPp	180775	180790	+	degP	
CpxR-phosphorylated DNA-binding-site 66 bases upstream of acrDp2	2587476	2587493	+	acrD	
CpxR-phosphorylated DNA-binding-site 66.5 bases upstream of mdtAp	2153906	2153920	+	mdtABCD-baeSR	
CpxR-phosphorylated DNA-binding-site 67 bases downstream of rseDp4	2710113	2710128	-	rseD-rpoE-rseABC	
CpxR-phosphorylated DNA-binding-site 67 bases upstream of cpxRp2	4105746	4105761		cpxRA // cpxPQ // cpxRA	
CpxR-phosphorylated DNA-binding-site 68.5 bases upstream of ompFp2	987153	987169	-	ompF // ompF	
CpxR-phosphorylated DNA-binding-site 71.5 bases upstream of degPp	180765	180783	+	degP	
CpxR-phosphorylated DNA-binding-site 73.5 bases upstream of csgDp3	1103411	1103425	-	csgDEFG // csgDEFG	
CpxR-phosphorylated DNA-binding-site 8 bases downstream of csgBp2	1103859	1103874	+	csgBAC // csgBAC	
CpxR-phosphorylated DNA-binding-site 81 bases upstream of ungp	2716650	2716665	+	ung	
CpxR-phosphorylated DNA-binding-site 87.5 bases upstream of focAp2	954583	954599	-	focA-pflB	
CpxR-phosphorylated DNA-binding-site 9 bases upstream of tsrp1	4591396	4591411	+	tsr	
CpxR-phosphorylated DNA-binding-site 93 bases upstream of ompFp2	987178	987193	-	ompF // ompF	
CpxR-phosphorylated DNA-binding-site 95 bases upstream of ompCp1	2312920	2312931	-	ompC	
CpxR-phosphorylated DNA-binding-site 95.5 bases upstream of csgDp3	1103433	1103447	-	csgDEFG // csgDEFG	
CpxR-phosphorylated DNA-binding-site 96.5 bases upstream of ppiDp2	461715	461731	+	ppiD	
CpxR-phosphorylated DNA-binding-site 98 bases upstream of acrDp2	2587446	2587459	+	acrD	
CpxR-phosphorylated DNA-binding-site regulating cyaRp3			+	cyaR // cyaR // cyaR	
CpxR-phosphorylated DNA-binding-site regulating rprAp			+	rprA	
CpxR-phosphorylated DNA-binding-site regulating yjfN			-	yjfN	
Cra DNA-binding-site (BS0-10949)					
Cra DNA-binding-site (BS0-10950)					
Cra DNA-binding-site (BS0-10951)					
Cra DNA-binding-site (BS0-10952)					
Cra DNA-binding-site (BS0-10954)	2079491	2079507			
Cra DNA-binding-site (BS0-10978)	4455683	4455701			
Cra DNA-binding-site (BS0-10981)					
Cra DNA-binding-site (BS0-10982)					
Cra DNA-binding-site 101.5 bases upstream of prpBp	348536	348554	+	prpBCDE	
Cra DNA-binding-site 105.5 bases upstream of cydAp5	771254	771272	+	cydAB	
Cra DNA-binding-site 13.5 bases upstream of pdeLp1	332017	332035	+	pdeL	
Cra DNA-binding-site 134.5 bases upstream of cydAp5	771225	771243	+	cydAB	
Cra DNA-binding-site 139.5 bases upstream of pckp	3532531	3532549	+	pck	
Cra DNA-binding-site 15.5 bases upstream of nirBp	3493963	3493981	+	nirBDC-cysG	
Cra DNA-binding-site 159.5 bases upstream of pdeLp1	331871	331889	+	pdeL	
Cra DNA-binding-site 164.5 bases downstream of enop3	2908674	2908692	-	eno // eno // eno	
Cra DNA-binding-site 166.5 bases upstream of aceBp	4215227	4215245	+	aceBAK	
Cra DNA-binding-site 18.5 bases downstream of pykFp	1755476	1755494	+	pykF	
Cra DNA-binding-site 185.5 bases upstream of pdhRp2	121840	121858		pdhR-aceEF-lpdA // pdhR-aceEF-lpdA // aroP // aroP	
Cra DNA-binding-site 196.5 bases upstream of csgDp3	1103532	1103550	-	csgDEFG // csgDEFG	
Cra DNA-binding-site 22.5 bases upstream of mtlAp	3772157	3772175	+	mtlADR	
Cra DNA-binding-site 227.5 bases upstream of csgDp3	1103563	1103581	-	csgDEFG // csgDEFG	
Cra DNA-binding-site 268.5 bases upstream of cyoAp	451913	451931	-	cyoABCDE	
Cra DNA-binding-site 3.5 bases downstream of epdp2	3073812	3073830	-	epd-pgk // epd-pgk-fbaA // epd-pgk-fbaA // epd-pgk	
Cra DNA-binding-site 31.5 bases upstream of gpmMp1	3785195	3785213	+	gpmM-envC-yibQ	
Cra DNA-binding-site 33.5 bases upstream of enop3	2908871	2908889	-	eno // eno // eno	
Cra DNA-binding-site 332.5 bases upstream of sgrSp2	77026	77044	+	sgrST-setA // sgrST-setA	
Cra DNA-binding-site 35.5 bases upstream of fbaBp	2178694	2178712	-	fbaB	
Cra DNA-binding-site 35.5 bases upstream of pfkAp	4107430	4107448	+	pfkA // pfkA	
Cra DNA-binding-site 35.5 bases upstream of zwfp	1936403	1936421	-	zwf	
Cra DNA-binding-site 36.5 bases downstream of adhEp	1298370	1298386	-	adhE // adhE	
Cra DNA-binding-site 36.5 bases upstream of mplp	4455683	4455701	+	mpl // mpl	
Cra DNA-binding-site 4.5 bases downstream of eddp	1934701	1934719	-	edd-eda	
Cra DNA-binding-site 4.5 bases upstream of glcCp	3128193	3128211	+	glcC	
Cra DNA-binding-site 40.5 bases downstream of manXp	1901965	1901981	+	manXYZ	
Cra DNA-binding-site 41 bases upstream of treBp	4466238	4466265	-	treBC	
Cra DNA-binding-site 45.5 bases upstream of crpp1	3485900	3485916	+	crp	
Cra DNA-binding-site 45.5 bases upstream of ppsAp	1787199	1787215	-	ppsA	
Cra DNA-binding-site 46.5 bases downstream of csgDp3	1103290	1103308	-	csgDEFG // csgDEFG	
Cra DNA-binding-site 46.5 bases upstream of ppcp	4153228	4153246	-	ppc	
Cra DNA-binding-site 55.5 bases upstream of ptsHp1	2533544	2533562	+	ptsHI-crr // ptsHI-crr	
Cra DNA-binding-site 563.5 bases upstream of csgDp3	1103899	1103917	-	csgDEFG // csgDEFG	
Cra DNA-binding-site 7.5 bases downstream of hypFp3	2838090	2838108	-	hypF // hypF	
Cra DNA-binding-site 72.5 bases upstream of marRp	1619012	1619030	+	marRAB	
Cra DNA-binding-site 76.5 bases upstream of icdAp2	1194876	1194894	+	icd	
Cra DNA-binding-site 91.5 bases upstream of glkp2	2509544	2509562	-	glk // glk	
Cra DNA-binding-site 91.5 bases upstream of tpiAp	4111652	4111670	-	tpiA // tpiA	
Cra DNA-binding-site regulating acnAp2			+	acnA	
Cra DNA-binding-site regulating acnBp1			+	acnB	
Cra DNA-binding-site regulating cyoAp (BS0-10977)			-	cyoABCDE	
Cra DNA-binding-site regulating nikABCDER			+	nikABCDER	
Cra DNA-binding-site regulating nrdHp			+	nrdHIEF	
Cra DNA-binding-site regulating nuoABCEFGHIJKLMN	2405347	2405384	-	nuoABCEFGHIJKLMN	
Cra DNA-binding-site regulating ssuEp			-	ssuEADCB	
Cra DNA-binding-site regulating yhfXW-php-yhfUTS	3511002	3511033	-	yhfXW-php-yhfUTS	
Cra-fructose-1-phosphate DNA-binding-site (BS0-10976)					
Cra-fructose-1-phosphate DNA-binding-site (BS0-10983)					
Cra-fructose-1-phosphate DNA-binding-site 43.5 bases upstream of gapAp	1862683	1862701	+	gapA // gapA // gapA // gapA-yeaD // gapA	
Cra-fructose-1-phosphate DNA-binding-site 7.5 bases downstream of fruBp	2263582	2263600	-	fruBKA	
Cra-fructose-1-phosphate DNA-binding-site 725.5 bases upstream of gapAp	1862002	1862018	+	gapA // gapA // gapA // gapA-yeaD // gapA	
Cra-fructose-1-phosphate DNA-binding-site 73.5 bases downstream of fruBp	2263516	2263534	-	fruBKA	
Cra-fructose-1-phosphate DNA-binding-site regulating hisGDCBHAFI			+	hisGDCBHAFI	
Cra-fructose-1-phosphate DNA-binding-site regulating manXp			+	manXYZ	
Cra-fructose-1-phosphate DNA-binding-site regulating mtlAp			+	mtlADR	
CreB-Pasp54 DNA-binding-site 18.5 bases downstream of malEp	4246438	4246456	-	malEFGH	
